Paquet, Temps (ms), Equip, Lectura termistor, Pressió, Altitud BMP280, Temperatura BMP280, Temperatura DHT11, Humitat, Lectura MQ135,Diòxid de carboni, Òxid de Nitrogen, Amoníac, Lectura UV 
2,6703,Sara Garcia,442,102660.93,20.24,44.20,0,0,125,131.94,62.61,87.08,0
3,9236,Sara Garcia,442,102658.97,20.24,44.22,0,0,138,170.53,85.46,112.55,0
4,11771,Sara Garcia,442,102659.48,20.24,44.37,0,0,185,374.14,221.55,246.93,0
5,14308,Sara Garcia,442,102657.58,20.25,44.22,0,0,186,379.75,225.58,250.64,0
6,16845,Sara Garcia,442,102659.14,20.24,44.26,0,0,186,379.75,225.58,250.64,0
7,19382,Sara Garcia,442,102659.82,20.23,44.22,0,0,178,336.52,194.84,222.10,0
8,21919,Sara Garcia,442,102659.48,20.24,44.12,0,0,148,204.93,106.79,135.26,0
9,24456,Sara Garcia,442,102659.70,20.24,44.28,0,0,151,216.11,113.89,142.63,0
10,26993,Sara Garcia,442,102659.92,20.25,44.31,0,0,149,208.62,109.12,137.69,0
11,29531,Sara Garcia,442,102657.35,20.24,44.14,0,0,148,204.93,106.79,135.26,0
12,32069,Sara Garcia,442,102660.03,20.25,44.33,0,0,150,212.34,111.48,140.15,0
13,34607,Sara Garcia,442,102660.10,20.25,44.35,0,0,152,219.93,116.33,145.15,0
14,36148,Sara Garcia,442,102657.19,20.24,44.37,19,76,193,420.73,255.42,277.68,0
0,1631,Sara Garcia,441,102652.46,19.79,44.27,0,0,247,855.40,603.77,564.56,0
1,4167,Sara Garcia,441,102660.80,20.12,44.44,0,0,155,231.66,123.90,152.90,0
2,6703,Sara Garcia,441,102659.10,20.14,44.30,0,0,133,154.90,76.06,102.23,0
3,9238,Sara Garcia,440,102658.47,20.14,44.52,0,0,127,137.45,65.80,90.72,0
4,11772,Sara Garcia,442,102659.70,20.15,44.31,0,0,132,151.89,74.27,100.25,0
5,14308,Sara Garcia,441,102659.55,20.15,44.41,0,0,132,151.89,74.27,100.25,0
6,16844,Sara Garcia,442,102660.17,20.16,44.19,0,0,144,190.65,97.83,125.83,0
7,19380,Sara Garcia,441,102660.61,20.17,44.24,0,0,145,194.16,100.02,128.14,0
8,21917,Sara Garcia,441,102659.78,20.17,44.36,0,0,144,190.65,97.83,125.83,0
9,23452,Sara Garcia,441,102656.59,20.17,44.46,0,0,140,177.07,89.45,116.86,0
10,25989,Sara Garcia,442,102659.17,20.18,44.50,0,0,139,173.78,87.44,114.69,0
11,27529,Sara Garcia,441,102659.00,20.19,44.36,19,77,148,204.93,106.79,135.26,0
12,29072,Sara Garcia,441,102657.11,20.18,44.16,19,78,154,227.71,121.34,150.29,0
13,30616,Sara Garcia,442,102657.89,20.18,44.51,19,78,172,306.49,173.96,202.28,0
14,32159,Sara Garcia,442,102659.07,20.19,44.31,19,78,126,134.68,64.19,88.89,0
15,33701,Sara Garcia,442,102656.27,20.19,44.14,19,78,121,121.36,56.58,80.10,0
16,35243,Sara Garcia,442,102658.73,20.19,44.36,19,77,163,265.06,145.87,174.94,0
17,36787,Sara Garcia,441,102661.63,20.19,44.29,19,77,167,282.95,157.90,186.75,0
18,38330,Sara Garcia,442,102659.57,20.19,44.19,19,77,122,123.95,58.05,81.81,0
19,39872,Sara Garcia,442,102658.33,20.19,44.19,19,77,136,164.15,81.60,108.34,0
20,41414,Sara Garcia,441,102658.78,20.19,44.08,19,77,169,292.21,164.18,192.86,0
21,42957,Sara Garcia,441,102659.39,20.20,44.32,19,77,138,170.53,85.46,112.55,0
