Dia,Hora,Cansat,Paquet,Termistor,Voltatge,Resistencia,Temperatura (termistor),Temperatura (BMP280),Pressió,Altura
2024-04-29,10:17:18,Alicia Sintes,0,474,2.68,11582.28,21.73,22.28,101207.07,11.39
2024-04-29,10:17:19,Alicia Sintes,1,474,2.68,11582.28,21.73,22.28,101207.07,11.39
2024-04-29,10:17:20,Alicia Sintes,2,474,2.68,11582.28,21.73,22.28,101207.31,11.39
2024-04-29,10:17:22,Alicia Sintes,3,474,2.68,11582.28,21.73,22.28,101207.14,11.39
2024-04-29,10:17:23,Alicia Sintes,4,474,2.68,11582.28,21.73,22.28,101206.97,11.39
2024-04-29,10:17:24,Alicia Sintes,5,475,2.68,11536.84,21.82,22.28,101206.8,11.39
2024-04-29,10:17:25,Alicia Sintes,6,475,2.68,11536.84,21.82,22.28,101206.8,11.39
2024-04-29,10:17:26,Alicia Sintes,7,475,2.68,11536.84,21.82,22.28,101206.63,11.39
2024-04-29,10:17:27,Alicia Sintes,8,475,2.68,11536.84,21.82,22.28,101206.5,11.39
2024-04-29,10:17:28,Alicia Sintes,9,475,2.68,11536.84,21.82,22.28,101206.33,11.4
2024-04-29,10:17:29,Alicia Sintes,10,475,2.68,11536.84,21.82,22.28,101206.0,11.4
2024-04-29,10:17:30,Alicia Sintes,11,475,2.68,11536.84,21.82,22.28,101206.05,11.4
2024-04-29,10:17:31,Alicia Sintes,12,475,2.68,11536.84,21.82,22.28,101206.05,11.4
2024-04-29,10:17:32,Alicia Sintes,13,474,2.68,11582.28,21.73,22.29,101206.09,11.4
2024-04-29,10:17:33,Alicia Sintes,14,465,2.73,12000.0,20.95,22.29,101206.09,11.4
2024-04-29,10:17:34,Alicia Sintes,15,465,2.73,12000.0,20.95,22.29,101206.14,11.4
2024-04-29,10:17:35,Alicia Sintes,16,469,2.71,11812.37,21.3,22.29,101205.97,11.4
2024-04-29,10:17:36,Alicia Sintes,17,470,2.7,11765.96,21.38,22.29,101206.36,11.4
2024-04-29,10:17:37,Alicia Sintes,18,471,2.7,11719.75,21.47,22.29,101206.36,11.4
2024-04-29,10:17:38,Alicia Sintes,19,476,2.67,11491.6,21.9,22.29,101206.36,11.4
2024-04-29,10:17:39,Alicia Sintes,20,478,2.66,11401.67,22.08,22.29,101206.75,11.39
2024-04-29,10:17:40,Alicia Sintes,21,478,2.66,11401.67,22.08,22.29,101206.58,11.39
2024-04-29,10:17:41,Alicia Sintes,22,478,2.66,11401.67,22.08,22.3,101206.8,11.39
2024-04-29,10:17:42,Alicia Sintes,23,473,2.69,11627.91,21.64,22.3,101206.63,11.39
2024-04-29,10:17:43,Alicia Sintes,24,473,2.69,11627.91,21.64,22.3,101206.88,11.39
2024-04-29,10:17:44,Alicia Sintes,25,472,2.69,11673.73,21.56,22.3,101207.1,11.39
2024-04-29,10:17:45,Alicia Sintes,26,472,2.69,11673.73,21.56,22.3,101206.75,11.39
2024-04-29,10:17:46,Alicia Sintes,27,472,2.69,11673.73,21.56,22.3,101206.97,11.39
2024-04-29,10:17:47,Alicia Sintes,28,472,2.69,11673.73,21.56,22.3,101206.8,11.39
2024-04-29,10:17:48,Alicia Sintes,29,472,2.69,11673.73,21.56,22.31,101206.67,11.39
2024-04-29,10:17:49,Alicia Sintes,30,472,2.69,11673.73,21.56,22.31,101206.7,11.39
2024-04-29,10:17:50,Alicia Sintes,31,472,2.69,11673.73,21.56,22.31,101206.53,11.39
2024-04-29,10:17:51,Alicia Sintes,32,472,2.69,11673.73,21.56,22.31,101206.75,11.39
2024-04-29,10:17:52,Alicia Sintes,33,472,2.69,11673.73,21.56,22.31,101206.24,11.4
2024-04-29,10:17:53,Alicia Sintes,34,472,2.69,11673.73,21.56,22.31,101206.46,11.39
2024-04-29,10:17:54,Alicia Sintes,35,472,2.69,11673.73,21.56,22.31,101206.28,11.4
2024-04-29,10:17:55,Alicia Sintes,36,473,2.69,11627.91,21.64,22.31,101206.11,11.4
2024-04-29,10:17:56,Alicia Sintes,37,472,2.69,11673.73,21.56,22.32,101206.36,11.4
2024-04-29,10:17:57,Alicia Sintes,38,472,2.69,11673.73,21.56,22.32,101206.41,11.39
2024-04-29,10:17:58,Alicia Sintes,39,473,2.69,11627.91,21.64,22.32,101206.46,11.39
2024-04-29,10:17:59,Alicia Sintes,40,472,2.69,11673.73,21.56,22.32,101206.46,11.39
2024-04-29,10:18:00,Alicia Sintes,41,473,2.69,11627.91,21.64,22.32,101206.5,11.39
2024-04-29,10:18:01,Alicia Sintes,42,473,2.69,11627.91,21.64,22.32,101206.17,11.4
2024-04-29,10:18:02,Alicia Sintes,43,473,2.69,11627.91,21.64,22.33,101206.39,11.4
2024-04-29,10:18:03,Alicia Sintes,44,473,2.69,11627.91,21.64,22.33,101206.6,11.39
2024-04-29,10:18:04,Alicia Sintes,45,473,2.69,11627.91,21.64,22.33,101206.43,11.39
2024-04-29,10:18:05,Alicia Sintes,46,473,2.69,11627.91,21.64,22.33,101206.99,11.39
2024-04-29,10:18:06,Alicia Sintes,47,473,2.69,11627.91,21.64,22.33,101206.82,11.39
2024-04-29,10:18:07,Alicia Sintes,48,473,2.69,11627.91,21.64,22.33,101207.21,11.39
2024-04-29,10:18:08,Alicia Sintes,49,473,2.69,11627.91,21.64,22.33,101207.04,11.39
2024-04-29,10:18:09,Alicia Sintes,50,473,2.69,11627.91,21.64,22.34,101207.11,11.39
2024-04-29,10:18:10,Alicia Sintes,51,473,2.69,11627.91,21.64,22.34,101206.6,11.39
2024-04-29,10:18:11,Alicia Sintes,52,473,2.69,11627.91,21.64,22.34,101206.27,11.4
2024-04-29,10:18:12,Alicia Sintes,53,473,2.69,11627.91,21.64,22.34,101206.49,11.39
2024-04-29,10:18:13,Alicia Sintes,54,473,2.69,11627.91,21.64,22.34,101206.49,11.39
2024-04-29,10:18:14,Alicia Sintes,55,473,2.69,11627.91,21.64,22.34,101206.53,11.39
2024-04-29,10:18:15,Alicia Sintes,56,473,2.69,11627.91,21.64,22.34,101206.36,11.4
2024-04-29,10:18:16,Alicia Sintes,57,473,2.69,11627.91,21.64,22.34,101206.58,11.39
2024-04-29,10:18:17,Alicia Sintes,58,473,2.69,11627.91,21.64,22.35,101206.97,11.39
2024-04-29,10:18:18,Alicia Sintes,59,473,2.69,11627.91,21.64,22.35,101206.63,11.39
2024-04-29,10:18:19,Alicia Sintes,60,473,2.69,11627.91,21.64,22.35,101206.65,11.39
2024-04-29,10:18:20,Alicia Sintes,61,473,2.69,11627.91,21.64,22.35,101206.53,11.39
2024-04-29,10:18:21,Alicia Sintes,62,473,2.69,11627.91,21.64,22.35,101206.53,11.39
2024-04-29,10:18:22,Alicia Sintes,63,473,2.69,11627.91,21.64,22.35,101206.6,11.39
2024-04-29,10:18:23,Alicia Sintes,64,474,2.68,11582.28,21.73,22.35,101206.44,11.39
2024-04-29,10:18:24,Alicia Sintes,65,474,2.68,11582.28,21.73,22.36,101206.49,11.39
2024-04-29,10:18:25,Alicia Sintes,66,474,2.68,11582.28,21.73,22.36,101206.36,11.4
2024-04-29,10:18:26,Alicia Sintes,67,474,2.68,11582.28,21.73,22.36,101206.19,11.4
2024-04-29,10:18:27,Alicia Sintes,68,474,2.68,11582.28,21.73,22.36,101206.07,11.4
2024-04-29,10:18:28,Alicia Sintes,69,474,2.68,11582.28,21.73,22.36,101206.11,11.4
2024-04-29,10:18:29,Alicia Sintes,70,474,2.68,11582.28,21.73,22.36,101205.78,11.4
2024-04-29,10:18:30,Alicia Sintes,71,475,2.68,11536.84,21.82,22.36,101205.44,11.4
2024-04-29,10:18:31,Alicia Sintes,72,475,2.68,11536.84,21.82,22.37,101205.66,11.4
2024-04-29,10:18:32,Alicia Sintes,73,475,2.68,11536.84,21.82,22.37,101205.88,11.4
2024-04-29,10:18:33,Alicia Sintes,74,475,2.68,11536.84,21.82,22.37,101205.71,11.4
2024-04-29,10:18:34,Alicia Sintes,75,475,2.68,11536.84,21.82,22.37,101205.75,11.4
2024-04-29,10:18:35,Alicia Sintes,76,476,2.67,11491.6,21.9,22.37,101205.58,11.4
2024-04-29,10:18:36,Alicia Sintes,77,469,2.71,11812.37,21.3,22.38,101205.83,11.4
2024-04-29,10:18:37,Alicia Sintes,78,470,2.7,11765.96,21.38,22.38,101205.71,11.4
